farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
CHH,gdn,TotalBeesEverProduced,March,13633.59,16502.28357,25461,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalBeesEverProduced,March,12083.43,14624.29683,21312.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalBeesEverProduced,March,11444.64,13630.24695,19901.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalBeesEverProduced,March,12855.93,15486.14257,22962,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalBeesEverProduced,March,23441.4,29827.34064,54060,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalBeesEverProduced,March,13663.02,17025.60563,27241.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalBeesEverProduced,March,15054.27,18364.10417,29652.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalBeesEverProduced,March,14140.56,17071.18417,26840.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalBeesEverProduced,March,16533.75,20421.63711,33456,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalBeesEverProduced,March,12808.65,15443.03641,23800.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalBeesEverProduced,March,11997.09,14378.10967,21041.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalBeesEverProduced,March,11846.96,14355.1972,21646.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalBeesEverProduced,March,21483.6,26638.18226,44009.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalBeesEverProduced,March,12290.38,14942.0004,23143.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalBeesEverProduced,March,14379.51,17527.9165,27857.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalBeesEverProduced,March,13105.97,15995.61106,25610.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalBeesEverProduced,March,20969.04,26835.23708,49223.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalBeesEverProduced,March,14865.21,18417.15533,29880,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalBeesEverProduced,March,15521.61,18995.40302,29764.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalBeesEverProduced,March,14532.66,17854.75082,28981.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalBeesEverProduced,March,21488.52,27206.54615,48378.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalBeesEverProduced,March,13720.48,16764.86798,26284.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalBeesEverProduced,March,16115.64,19813.1936,32076.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalBeesEverProduced,March,15830.64,19256.06895,31495.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalBeesEverProduced,March,15261.21,18765.4609,30387,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalBeesEverProduced,March,14631.72,17833.07397,28323,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalBeesEverProduced,March,15912.45,19687.50544,32088.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalBeesEverProduced,March,13685.36,16820.36916,25636.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalBeesEverProduced,March,20383.2,25500.50137,44336.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalBeesEverProduced,March,13653.45,16602.594,25314,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalBeesEverProduced,March,12662.62,15510.80055,24878.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalBeesEverProduced,March,14872.92,18411.77519,30755.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalBeesEverProduced,March,15360.58,18974.50145,31055.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalBeesEverProduced,March,10398.13,12520.71644,18525.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalBeesEverProduced,March,11912.93,14218.76509,21134.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalBeesEverProduced,March,11376.61,13793.77811,21127.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
